stack=a5n_s0_ch1;stackdb=a5n_s0_db2;saveTime=3531199714.238000;version=20151102_v1;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,184,185,10,5,.1,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,16.424999,28.350000,7.000000,7.000000,NaN,NaN,63.000000,0.000000,NaN,NaN,NaN,NaN,3.434665,3.434665,NaN,NaN,NaN,
NaN,NaN,16.379999,28.350000,7.000000,7.000000,NaN,NaN,64.000000,0.000000,NaN,NaN,NaN,NaN,3.479665,3.479665,NaN,NaN,NaN,
NaN,NaN,16.334999,28.305000,7.000000,7.000000,NaN,NaN,65.000000,0.000000,NaN,NaN,NaN,NaN,3.543305,3.543305,NaN,NaN,NaN,
NaN,NaN,16.290001,28.305000,7.000000,7.000000,NaN,NaN,66.000000,0.000000,NaN,NaN,NaN,NaN,3.588303,3.588303,NaN,NaN,NaN,
NaN,NaN,16.245001,28.260000,7.000000,7.000000,NaN,NaN,67.000000,0.000000,NaN,NaN,NaN,NaN,3.651942,3.651942,NaN,NaN,NaN,
NaN,NaN,16.200001,28.260000,7.000000,7.000000,NaN,NaN,68.000000,0.000000,NaN,NaN,NaN,NaN,3.696943,3.696943,NaN,NaN,NaN,
NaN,NaN,16.155001,28.215000,7.000000,7.000000,NaN,NaN,69.000000,0.000000,NaN,NaN,NaN,NaN,3.760582,3.760582,NaN,NaN,NaN,
NaN,NaN,16.110001,28.215000,7.000000,7.000000,NaN,NaN,70.000000,0.000000,NaN,NaN,NaN,NaN,3.805583,3.805583,NaN,NaN,NaN,
NaN,NaN,16.065001,28.215000,7.000000,7.000000,NaN,NaN,71.000000,0.000000,NaN,NaN,NaN,NaN,3.850583,3.850583,NaN,NaN,NaN,
NaN,NaN,16.020000,28.215000,8.000000,8.000000,NaN,NaN,72.000000,0.000000,NaN,NaN,NaN,NaN,3.895583,3.895583,NaN,NaN,NaN,
NaN,NaN,16.020000,28.215000,8.000000,8.000000,NaN,NaN,73.000000,0.000000,NaN,NaN,NaN,NaN,3.895583,3.895583,NaN,NaN,NaN,
NaN,NaN,15.975000,28.170000,7.000000,7.000000,NaN,NaN,74.000000,0.000000,NaN,NaN,NaN,NaN,3.959222,3.959222,NaN,NaN,NaN,
NaN,NaN,15.930000,28.170000,7.000000,7.000000,NaN,NaN,75.000000,0.000000,NaN,NaN,NaN,NaN,4.004222,4.004222,NaN,NaN,NaN,
NaN,NaN,15.885000,28.170000,7.000000,7.000000,NaN,NaN,76.000000,0.000000,NaN,NaN,NaN,NaN,4.049222,4.049222,NaN,NaN,NaN,
NaN,NaN,15.840000,28.125000,7.000000,7.000000,NaN,NaN,77.000000,0.000000,NaN,NaN,NaN,NaN,4.112862,4.112862,NaN,NaN,NaN,
NaN,NaN,15.795000,28.080000,7.000000,7.000000,NaN,NaN,78.000000,0.000000,NaN,NaN,NaN,NaN,4.176502,4.176502,NaN,NaN,NaN,
NaN,NaN,15.750000,28.035000,7.000000,7.000000,NaN,NaN,79.000000,0.000000,NaN,NaN,NaN,NaN,4.240141,4.240141,NaN,NaN,NaN,
NaN,NaN,15.705000,27.990000,7.000000,7.000000,NaN,NaN,80.000000,0.000000,NaN,NaN,NaN,NaN,4.303782,4.303782,NaN,NaN,NaN,
NaN,NaN,15.660000,27.945000,7.000000,7.000000,NaN,NaN,81.000000,0.000000,NaN,NaN,NaN,NaN,4.367421,4.367421,NaN,NaN,NaN,
NaN,NaN,15.615000,27.900000,7.000000,7.000000,NaN,NaN,82.000000,0.000000,NaN,NaN,NaN,NaN,4.431061,4.431061,NaN,NaN,NaN,
NaN,NaN,15.615000,27.855000,7.000000,7.000000,NaN,NaN,83.000000,0.000000,NaN,NaN,NaN,NaN,4.476061,4.476061,NaN,NaN,NaN,
NaN,NaN,15.570000,27.809999,7.000000,7.000000,NaN,NaN,84.000000,0.000000,NaN,NaN,NaN,NaN,4.539701,4.539701,NaN,NaN,NaN,
NaN,NaN,15.525000,27.764999,7.000000,7.000000,NaN,NaN,85.000000,0.000000,NaN,NaN,NaN,NaN,4.603340,4.603340,NaN,NaN,NaN,
NaN,NaN,15.480000,27.719999,7.000000,7.000000,NaN,NaN,86.000000,0.000000,NaN,NaN,NaN,NaN,4.666980,4.666980,NaN,NaN,NaN,
NaN,NaN,15.480000,27.674999,7.000000,7.000000,NaN,NaN,87.000000,0.000000,NaN,NaN,NaN,NaN,4.711980,4.711980,NaN,NaN,NaN,
NaN,NaN,15.480000,27.629999,7.000000,7.000000,NaN,NaN,88.000000,0.000000,NaN,NaN,NaN,NaN,4.756980,4.756980,NaN,NaN,NaN,
NaN,NaN,15.435000,27.584999,7.000000,7.000000,NaN,NaN,89.000000,0.000000,NaN,NaN,NaN,NaN,4.820619,4.820619,NaN,NaN,NaN,
NaN,NaN,15.435000,27.540001,7.000000,7.000000,NaN,NaN,90.000000,0.000000,NaN,NaN,NaN,NaN,4.865617,4.865617,NaN,NaN,NaN,
NaN,NaN,15.390000,27.495001,7.000000,7.000000,NaN,NaN,91.000000,0.000000,NaN,NaN,NaN,NaN,4.929257,4.929257,NaN,NaN,NaN,
NaN,NaN,15.345000,27.450001,7.000000,7.000000,NaN,NaN,92.000000,0.000000,NaN,NaN,NaN,NaN,4.992897,4.992897,NaN,NaN,NaN,
NaN,NaN,15.300000,27.405001,7.000000,7.000000,NaN,NaN,93.000000,0.000000,NaN,NaN,NaN,NaN,5.056537,5.056537,NaN,NaN,NaN,
NaN,NaN,15.255000,27.360001,7.000000,7.000000,NaN,NaN,94.000000,0.000000,NaN,NaN,NaN,NaN,5.120176,5.120176,NaN,NaN,NaN,
NaN,NaN,15.255000,27.360001,7.000000,7.000000,NaN,NaN,95.000000,0.000000,NaN,NaN,NaN,NaN,5.120176,5.120176,NaN,NaN,NaN,
NaN,NaN,15.255000,27.315001,7.000000,7.000000,NaN,NaN,96.000000,0.000000,NaN,NaN,NaN,NaN,5.165176,5.165176,NaN,NaN,NaN,
NaN,NaN,15.210000,27.270000,7.000000,7.000000,NaN,NaN,97.000000,0.000000,NaN,NaN,NaN,NaN,5.228816,5.228816,NaN,NaN,NaN,
NaN,NaN,15.210000,27.225000,7.000000,7.000000,NaN,NaN,98.000000,0.000000,NaN,NaN,NaN,NaN,5.273816,5.273816,NaN,NaN,NaN,
NaN,NaN,15.165000,27.180000,6.000000,6.000000,NaN,NaN,99.000000,0.000000,NaN,NaN,NaN,NaN,5.337456,5.337456,NaN,NaN,NaN,
NaN,NaN,15.120000,27.135000,6.000000,6.000000,NaN,NaN,100.000000,0.000000,NaN,NaN,NaN,NaN,5.401095,5.401095,NaN,NaN,NaN,
NaN,NaN,15.075000,27.090000,6.000000,6.000000,NaN,NaN,101.000000,0.000000,NaN,NaN,NaN,NaN,5.464736,5.464736,NaN,NaN,NaN,
NaN,NaN,15.030000,27.045000,7.000000,7.000000,NaN,NaN,102.000000,0.000000,NaN,NaN,NaN,NaN,5.528375,5.528375,NaN,NaN,NaN,
NaN,NaN,15.030000,27.000000,7.000000,7.000000,NaN,NaN,103.000000,0.000000,NaN,NaN,NaN,NaN,5.573375,5.573375,NaN,NaN,NaN,
NaN,NaN,14.985000,26.955000,7.000000,7.000000,NaN,NaN,104.000000,0.000000,NaN,NaN,NaN,NaN,5.637015,5.637015,NaN,NaN,NaN,
NaN,NaN,14.940000,26.910000,7.000000,7.000000,NaN,NaN,105.000000,0.000000,NaN,NaN,NaN,NaN,5.700655,5.700655,NaN,NaN,NaN,
NaN,NaN,14.940000,26.865000,7.000000,7.000000,NaN,NaN,106.000000,0.000000,NaN,NaN,NaN,NaN,5.745655,5.745655,NaN,NaN,NaN,
